SlNo,Property_Name,Property_Type,Address,Landmarks,City,State_code,Country,Carpet_area,Builtup_Area,Floor,Beds,Bathroom,Balcony,BHK_Type,Status,Furnished_status,Price_per_square_feet,Year_Built,Transaction_type,Facing,Car_Parking,Type_of_ownership,Booking_amount,Buy_total_price
589,2BHK Multistorey Apartment for Resale in Kondapur,Apartment,"Hyderabad, Andhra Pradesh",,Hyderabad,Andhra Pradesh,India,,1290,24,2,2,,2,Ready to Move,Unfurnished,12791,,Resale,,,,0,16500000
590,4BHK Multistorey Apartment for Resale in Rainbow Vistas at Rock Garden at Hitech City,Apartment,"Hyderabad, Andhra Pradesh",Meridian School-eek International School,Hyderabad,Andhra Pradesh,India,,2795,19,4,3,4,4,Ready to Move,Furnished,10698,,Resale,West,609 Open,Freehold,1000000,29900000
591,3BHK Villa for Resale in Alwal,Villa,"Hyderabad, Andhra Pradesh",Telephone colony,Hyderabad,Andhra Pradesh,India,2500,2600,,3,3,1,3,Ready to Move,Furnished,5769,,Resale,West,1 Covered,Freehold,0,15000000
592,3BHK Multistorey Apartment for Resale in Kompally,Apartment,"Hyderabad, Andhra Pradesh","Near, Pearson international school",Hyderabad,Andhra Pradesh,India,1600,1800,7,3,3,2,3,Under Construction,Unfurnished,5556,,Resale,East,1 Covered,Freehold,1000000,10000000
593,3BHK Multistorey Apartment for Resale in Gothic Pentagon Clouds at Bachupally,Apartment,"Hyderabad, Andhra Pradesh",,Hyderabad,Andhra Pradesh,India,,1690,12,3,3,2,3,Under Construction,Unfurnished,6300,,Resale,West,2 Covered,Freehold,0,10600000
594,"4BHK Residential House for Resale in Deepthisri Nagar, NH 9",Residential House,"Hyderabad, Andhra Pradesh",vijetha supermarket,Hyderabad,Andhra Pradesh,India,2700,2800,1,4,2,2,4,Ready to Move,Semi-Furnished,15179,,Resale,East,,Freehold,0,42500000
595,3BHK Multistorey Apartment for New Property in Brigade Citadel at Kalyan Nagar Erragadda,Apartment,"Hyderabad, Andhra Pradesh",Erragadda metro station,Hyderabad,Andhra Pradesh,India,1250,1793,15,3,3,1,3,Ready to Move,Unfurnished,10597,,New Property,East,"1 Covered, 6 Open",Freehold,0,19000000
596,3BHK Multistorey Apartment for Resale in Giridhari Executive Park at Peeramcheru,Apartment,"Hyderabad, Andhra Pradesh",Kalimandir,Hyderabad,Andhra Pradesh,India,1600,1665,7,3,3,1,3,Ready to Move,Semi-Furnished,6667,,Resale,East,,Freehold,0,11100000
597,"4BHK Villa for Resale in Alluri Meadows at Venkat Enclave, Hitech City",Villa,"Hyderabad, Andhra Pradesh",The project is close to AMB and kothaguda x roads,Hyderabad,Andhra Pradesh,India,3000,3600,,4,4,,4,Ready to Move,,36806,,Resale,East,2 Open,Freehold,1000000,132500000
598,3BHK Multistorey Apartment for Resale in Pranith Aahana  at Manikonda Jagir,Apartment,"Hyderabad, Andhra Pradesh",All supermarkets restaurants food courts are near by with 100 mtr.,Hyderabad,Andhra Pradesh,India,1750,1800,5,3,3,2,3,Ready to Move,Unfurnished,6556,,Resale,East,1 Open,Freehold,500000,11800000
599,4BHK Residential House for Resale in Patancheru Shankarpalli Road,Residential House,"Hyderabad, Andhra Pradesh","3 minutes travel to orr exit3, 20 km to financial district.",Hyderabad,Andhra Pradesh,India,1800,2100,2,4,4,2,4,Ready to Move,Unfurnished,6190,,Resale,North,1 Covered,Freehold,500000,13000000
600,"4BHK Multistorey Apartment for Resale in Banjara Hills, NH 9",Apartment,"Hyderabad, Andhra Pradesh","This property is located in Srinagar Colony, Banjara Hills.",Hyderabad,Andhra Pradesh,India,,3800,6,4,5,1,4,Ready to Move,Unfurnished,13000,,Resale,North,2 Covered,Freehold,0,49400000
601,4BHK Multistorey Apartment for Resale in Aditya Windsor at Kondapur,Apartment,"Hyderabad, Andhra Pradesh","Google office, Ramalayam temple",Hyderabad,Andhra Pradesh,India,2600,2690,5,4,3,1,4,Ready to Move,Semi-Furnished,8178,,Resale,West,3 Covered,Freehold,0,22000000
602,2BHK Residential House for Resale in Beeramguda Ramachandrapuram,Residential House,"Hyderabad, Andhra Pradesh",,Hyderabad,Andhra Pradesh,India,,2500,2,2,2,2,2,Ready to Move,Unfurnished,5800,,Resale,West,,Freehold,100000,14500000
603,3BHK Multistorey Apartment for Resale in Meghadri Heights at Yapral,Apartment,"Hyderabad, Andhra Pradesh",Reliance Mart,Hyderabad,Andhra Pradesh,India,1600,1897,5,3,3,2,3,Ready to Move,Semi-Furnished,4850,,Resale,South,1 Covered,Freehold,0,9200000
604,3BHK Multistorey Apartment for Resale in Sri Nidhi Nivas Tarnaka at Tarnaka,Apartment,"Hyderabad, Andhra Pradesh",,Hyderabad,Andhra Pradesh,India,,2082,6,3,3,,3,Ready to Move,Semi-Furnished,4563,,Resale,,,,0,9500000
605,"3BHK Multistorey Apartment for Resale in Prestige Tranquil at Kokapet, Outer Ring Road",Apartment,"Hyderabad, Andhra Pradesh",,Hyderabad,Andhra Pradesh,India,1335,2049,34,3,3,2,3,Ready to Move,Furnished,11469,,Resale,,,,1000000,23500000
606,4BHK Residential House for Resale in Narsinghi,Residential House,"Hyderabad, Andhra Pradesh",Kokapet,Hyderabad,Andhra Pradesh,India,4800,5000,2,4,5,4,4,Ready to Move,Semi-Furnished,13200,,Resale,West,2 Covered,Freehold,5000000,66000000
607,4BHK Villa for New Property in Kompally,Villa,"Hyderabad, Andhra Pradesh",Near to Heart Cup Cafe.,Hyderabad,Andhra Pradesh,India,,4300,,4,5,2,4,Under Construction,Unfurnished,10500,,New Property,West,,Freehold,0,45100000
608,3BHK Multistorey Apartment for Resale in venkateswara nilayam kompally at Kompally,Apartment,"Hyderabad, Andhra Pradesh",Delhi public school,Hyderabad,Andhra Pradesh,India,1600,1694,5,3,3,1,3,Ready to Move,Unfurnished,5903,,Resale,East,,Freehold,100000,10000000
609,"3BHK Multistorey Apartment for Resale in Mahindra Ashvita at Kukatpally Housing Board Colony, NH 9",Apartment,"Hyderabad, Andhra Pradesh",Mahindra Ashvita block E Block Kukatpally Housing Board Colony,Hyderabad,Andhra Pradesh,India,,1783,15,3,3,3,3,Ready to Move,Semi-Furnished,11500,,Resale,East,1 Covered,Freehold,0,20500000
610,3BHK Multistorey Apartment for Resale in Shree Indira Sadan at Kompally,Apartment,"Hyderabad, Andhra Pradesh",Union Bank of India,Hyderabad,Andhra Pradesh,India,1400,1450,4,3,2,1,3,Ready to Move,Furnished,6897,,Resale,East,,Freehold,0,10000000
611,"3BHK Multistorey Apartment for Resale in NCC Urban One at Narsingi, Outer Ring Road",Apartment,"Hyderabad, Andhra Pradesh",The property is closed to ORR Narsingi circle.,Hyderabad,Andhra Pradesh,India,2535,3380,18,3,4,2,3,Ready to Move,Unfurnished,10059,,Resale,East,2 Covered,Freehold,1000000,34000000
612,5BHK Villa for Resale in The Neighbourhood at Kompally,Villa,"Hyderabad, Andhra Pradesh",Jain construction,Hyderabad,Andhra Pradesh,India,5800,5900,,5,7,2,5,Ready to Move,Furnished,10169,,Resale,North,1 Covered,Freehold,0,60000000
613,3BHK Residential House for Resale in Rampally,Residential House,"Hyderabad, Andhra Pradesh",,Hyderabad,Andhra Pradesh,India,,2300,2,3,4,2,3,Ready to Move,Unfurnished,4174,,Resale,West,,Freehold,0,9600000
614,"4BHK Villa for Resale in Vanasthalipuram, NH 9",Villa,"Hyderabad, Andhra Pradesh",,Hyderabad,Andhra Pradesh,India,1550,1770,,4,4,2,4,Under Construction,Unfurnished,7232,,Resale,North - East,,Freehold,500000,12800000
615,3BHK Multistorey Apartment for Resale in Neknampur,Apartment,"Hyderabad, Andhra Pradesh",,Hyderabad,Andhra Pradesh,India,1500,,5,3,3,1,3,Under Construction,Unfurnished,,,Resale,,,,500000,12000000
616,3BHK Multistorey Apartment for Resale in Manikonda Jagir,Apartment,"Hyderabad, Andhra Pradesh",Chitrapuri Hills,Hyderabad,Andhra Pradesh,India,1650,2091,32,3,5,2,3,Ready to Move,Furnished,10043,,Resale,West,,Freehold,1000000,21000000
617,"6BHK Residential House for Resale in Uppal, NH 2 2",Residential House,"Hyderabad, Andhra Pradesh",1 KM distance from Uppal Metro and Central Govt Offices,Hyderabad,Andhra Pradesh,India,2000,2500,2,6,5,4,6,Ready to Move,Unfurnished,8400,,Resale,North,,Freehold,5000000,21000000
618,4BHK Multistorey Apartment for Resale in The Valencia at Mithila Nagar Banjara Hills,Apartment,"Hyderabad, Andhra Pradesh",,Hyderabad,Andhra Pradesh,India,2800,3431,8,4,4,3,4,Ready to Move,Semi-Furnished,10930,,Resale,,,,0,37500000
619,3BHK Multistorey Apartment for New Property in Fresh Living Apartments at Madhapur,Apartment,"Hyderabad, Andhra Pradesh",Hitech City metro station,Hyderabad,Andhra Pradesh,India,1770,1770,10,3,3,2,3,Ready to Move,Furnished,11864,,New Property,East,,Freehold,0,21000000
620,3BHK Villa for Resale in Saket Township at Kapra,Villa,"Hyderabad, Andhra Pradesh",Indian oil petrol pump,Hyderabad,Andhra Pradesh,India,2700,3000,,3,3,4,3,Ready to Move,Semi-Furnished,6000,,Resale,East,,Freehold,0,18000000
621,3BHK Multistorey Apartment for Resale in Raghuwanshis Aravinda at Tarnaka,Apartment,"Hyderabad, Andhra Pradesh",Bank of Baroda,Hyderabad,Andhra Pradesh,India,1500,2000,5,3,3,3,3,Ready to Move,Unfurnished,8300,,Resale,West,2 Covered,Freehold,3320000,16600000
622,3BHK Multistorey Apartment for Resale in Janapriya Nagar Miyapur,Apartment,"Hyderabad, Andhra Pradesh",Very Close to Metro and Main road as well as sai ranga theatre,Hyderabad,Andhra Pradesh,India,1485,1600,5,3,2,2,3,Ready to Move,Unfurnished,6188,,Resale,East,,Freehold,500000,9900000
623,"2BHK Multistorey Apartment for Resale in Mandadi Magnus at Miyapur, NH 9",Apartment,"Hyderabad, Andhra Pradesh",matrusri DAV schoolPluse heart super speciality hospital,Hyderabad,Andhra Pradesh,India,1160,1260,5,2,2,1,2,Ready to Move,Unfurnished,9127,,Resale,West,,Freehold,0,11500000
624,"2BHK Residential House for Resale in Injapur, Neeladri Nagar, Ibrahimpatnam Road",Residential House,"Hyderabad, Andhra Pradesh",Sai Baba temple,Hyderabad,Andhra Pradesh,India,1000,1080,1,2,2,1,2,Ready to Move,Unfurnished,12037,,Resale,East,1 Covered,Freehold,200000,13000000
625,3BHK Multistorey Apartment for Resale in Om Sree Heights at Yapral,Apartment,"Hyderabad, Andhra Pradesh",HP petrol pump,Hyderabad,Andhra Pradesh,India,2000,2235,10,3,3,2,3,Ready to Move,Unfurnished,7147,,Resale,East,"1 Covered, 1 Open",Freehold,0,15900000
626,"4BHK Villa for Resale in Uppal, NH 2 2",Villa,"Hyderabad, Andhra Pradesh",mgit college,Hyderabad,Andhra Pradesh,India,1890,1990,,4,4,2,4,Ready to Move,Semi-Furnished,8794,,Resale,East,2 Open,Freehold,200000,17500000
627,3BHK Residential House for Resale in Sainikpuri,Residential House,"Hyderabad, Andhra Pradesh",HP petrol pump,Hyderabad,Andhra Pradesh,India,1950,2050,1,3,3,2,3,Ready to Move,Semi-Furnished,6195,,Resale,West,1 Covered,Freehold,500000,12700000
628,"6BHK Residential House for New Property in Mallampet, Outer Ring Road",Residential House,"Hyderabad, Andhra Pradesh",ORR Exit 4A silver Oak international schoolDr Reddys leadership academy laboratories pvt ltdSri Chaitanya Jr College,Hyderabad,Andhra Pradesh,India,5900,6000,4,6,5,4,6,Ready to Move,Semi-Furnished,4500,,New Property,East,"2 Covered, 1 Open",Freehold,0,27000000
629,4BHK Multistorey Apartment for Resale in Sumadhura Infracon The Olympus at Nanakaramguda,Apartment,"Hyderabad, Andhra Pradesh",Near Wave Rock Road,Hyderabad,Andhra Pradesh,India,2135,3000,44,4,4,2,4,Under Construction,Unfurnished,10000,,Resale,East,,,0,30000000
630,"3BHK Multistorey Apartment for Resale in NCC Urban One at Narsingi, Outer Ring Road",Apartment,"Hyderabad, Andhra Pradesh",,Hyderabad,Andhra Pradesh,India,,2540,18,3,3,,3,Ready to Move,Furnished,9646,,Resale,,,,0,24500000
631,3BHK Villa for Resale in Praneeth Greenfield at Ramachandrapuram,Villa,"Hyderabad, Andhra Pradesh",bachpan academic heightsSri Chaitanya school,Hyderabad,Andhra Pradesh,India,1530,1650,,3,3,1,3,Ready to Move,Unfurnished,12121,,Resale,South - East,"2 Covered, 2 Open",Freehold,0,20000000
632,3BHK Multistorey Apartment for Resale in Yapral,Apartment,"Hyderabad, Andhra Pradesh",Reliance fresh,Hyderabad,Andhra Pradesh,India,1500,1733,5,3,3,3,3,Ready to Move,Unfurnished,5482,,Resale,East,"1 Covered, 1 Open",Freehold,0,9500000
633,"3BHK Multistorey Apartment for Resale in Legend Jagannath at Ameerpet, NH 9",Apartment,"Hyderabad, Andhra Pradesh",SBI Bank,Hyderabad,Andhra Pradesh,India,1700,1708,5,3,3,2,3,Ready to Move,Semi-Furnished,9485,,Resale,South,,Freehold,0,16200000
634,2BHK Multistorey Apartment for Resale in Kinetic Harmony Gowtami Enclave at Kondapur,Apartment,"Hyderabad, Andhra Pradesh",Chirec public school,Hyderabad,Andhra Pradesh,India,1160,1208,5,2,2,2,2,Ready to Move,Furnished,9106,,Resale,North,,Co-operative Society,0,11000000
635,"3BHK Villa for Resale in Peerzadiguda, NH 2 2",Villa,"Hyderabad, Andhra Pradesh",Nalla Malla Reddy junior College,Hyderabad,Andhra Pradesh,India,2450,2500,,3,3,2,3,Ready to Move,Furnished,6680,,Resale,West,1 Covered,Freehold,500000,16700000
636,4BHK Residential House for Resale in Old Bowenpally,Residential House,"Hyderabad, Andhra Pradesh",SBI Bank,Hyderabad,Andhra Pradesh,India,2000,2100,2,4,4,1,4,Ready to Move,Unfurnished,8810,,Resale,North - East,1 Covered,Freehold,100000,18500000
637,2BHK Multistorey Apartment for New Property in Aparna Cyberscape at Nalagandla,Apartment,"Hyderabad, Andhra Pradesh",Kingston Park,Hyderabad,Andhra Pradesh,India,874,1335,22,2,2,2,2,Ready to Move,Unfurnished,9139,,New Property,East,1 Covered,Freehold,0,12200000
638,6BHK Residential House for Resale in Manikonda Jagir,Residential House,"Hyderabad, Andhra Pradesh",,Hyderabad,Andhra Pradesh,India,3600,3600,,6,7,4,6,Ready to Move,Semi-Furnished,5000,,Resale,,,,0,18000000
639,3BHK Multistorey Apartment for Resale in Aditya Athena at Shaikpet,Apartment,"Hyderabad, Andhra Pradesh",Mani konda main road towards Jublihills.,Hyderabad,Andhra Pradesh,India,2125,2125,14,3,3,2,3,Ready to Move,Unfurnished,12235,,Resale,West,,Freehold,5000000,26000000
640,3BHK Villa for Resale in Ramachandrapuram,Villa,"Hyderabad, Andhra Pradesh",sri Chaitanya school bachpan academic heights school,Hyderabad,Andhra Pradesh,India,1668,1800,,3,3,2,3,Ready to Move,Unfurnished,10000,,Resale,East,"1 Covered, 1 Open",Freehold,0,18000000
641,3BHK Residential House for Resale in HMT Swarnapuri Colony,Residential House,"Hyderabad, Andhra Pradesh",janapriya school,Hyderabad,Andhra Pradesh,India,1154,1224,2,3,3,3,3,Ready to Move,Unfurnished,9804,,Resale,North,,Freehold,0,12000000
642,2BHK Residential House for Resale in Kuntloor,Residential House,"Hyderabad, Andhra Pradesh",Sri sri ista kameshwari temple.,Hyderabad,Andhra Pradesh,India,,1400,1,2,2,,2,Ready to Move,Unfurnished,6786,,Resale,East,,Freehold,100000,9500000
643,"3BHK Multistorey Apartment for Resale in Poe Tree Extension at Narsingi, Outer Ring Road",Apartment,"Hyderabad, Andhra Pradesh",,Hyderabad,Andhra Pradesh,India,1828,1912,5,3,3,2,3,Ready to Move,Furnished,8368,,Resale,West,,Freehold,0,16000000
644,3BHK Villa for Resale in Praneeth Pranav County at Beeramguda Ramachandrapuram,Villa,"Hyderabad, Andhra Pradesh",Multiple schools and malls nearby,Hyderabad,Andhra Pradesh,India,,1700,,3,3,1,3,Ready to Move,Semi-Furnished,10588,,Resale,East,1 Open,Freehold,500000,18000000
645,2BHK Multistorey Apartment for Resale in Phase 4 KPHB,Apartment,"Hyderabad, Andhra Pradesh",RTO UNIT OFFICE D Mart,Hyderabad,Andhra Pradesh,India,1009,1440,30,2,2,2,2,Ready to Move,Semi-Furnished,8333,,Resale,West,,Freehold,0,12000000
646,4BHK Residential House for Resale in New Cyber Valley at Kondapur,Residential House,"Hyderabad, Andhra Pradesh",near kodapur RTO,Hyderabad,Andhra Pradesh,India,3600,1800,2,4,5,2,4,Ready to Move,Semi-Furnished,34444,,Resale,East,1 Covered,Freehold,200000000,62000000
647,"3BHK Multistorey Apartment for Resale in Kukatpally, NH 9",Apartment,"Hyderabad, Andhra Pradesh",,Hyderabad,Andhra Pradesh,India,2000,2595,6,3,4,3,3,Ready to Move,Furnished,9249,,Resale,,,,0,24000000
648,3BHK Villa for Resale in Pragathinagar,Villa,"Hyderabad, Andhra Pradesh",Euro kids pre school,Hyderabad,Andhra Pradesh,India,1260,4400,,3,4,4,3,Ready to Move,Semi-Furnished,4318,,Resale,West,4 Covered,Freehold,500000,19000000
649,"3BHK Multistorey Apartment for Resale in Mahindra Ashvita at Kukatpally Housing Board Colony, NH 9",Apartment,"Hyderabad, Andhra Pradesh",Mahindra Ashvita block B Block Kukatpally Housing Board Colony,Hyderabad,Andhra Pradesh,India,1636,1636,15,3,3,3,3,Ready to Move,Semi-Furnished,11002,,Resale,West,,Freehold,2000000,18000000
650,3BHK Multistorey Apartment for New Property in Nagole Bandlaguda Road,Apartment,"Hyderabad, Andhra Pradesh",opposite to ho petrol bunk mansoorabad road,Hyderabad,Andhra Pradesh,India,1800,1600,4,3,3,3,3,Ready to Move,Unfurnished,8750,,New Property,North,,Freehold,0,14000000
651,3BHK Multistorey Apartment for Resale in Manjeera Diamond Towers at Gopanpalle,Apartment,"Hyderabad, Andhra Pradesh",Navodaya School,Hyderabad,Andhra Pradesh,India,1779,1800,10,3,3,2,3,Ready to Move,Furnished,8056,,Resale,East,,Freehold,1500000,14500000
652,3BHK Multistorey Apartment for Resale in Puppalguda at Puppalguda,Apartment,"Hyderabad, Andhra Pradesh",,Hyderabad,Andhra Pradesh,India,1400,1520,4,3,2,1,3,Ready to Move,Furnished,6908,,Resale,,,,0,10500000
653,"5BHK Penthouse for Resale in Banjara Hills, NH 9",Penthouse,"Hyderabad, Andhra Pradesh",,Hyderabad,Andhra Pradesh,India,2826,5336,5,5,5,6,5,Ready to Move,Unfurnished,2905,,Resale,East,,Freehold,100000,15500000
654,3BHK Villa for Resale in Dream City at Balapur,Villa,"Hyderabad, Andhra Pradesh",,Hyderabad,Andhra Pradesh,India,,1998,,3,3,,3,Ready to Move,Semi-Furnished,11011,,Resale,,,,200000,22000000
655,3BHK Multistorey Apartment for Resale in Mayflower Heights at Mallapur,Apartment,"Hyderabad, Andhra Pradesh",namma function hall,Hyderabad,Andhra Pradesh,India,1450,1550,5,3,3,,3,Ready to Move,Semi-Furnished,6452,,Resale,East,,Freehold,0,10000000
656,3BHK Multistorey Apartment for Resale in Anand Nagar Bandlaguda,Apartment,"Hyderabad, Andhra Pradesh",,Hyderabad,Andhra Pradesh,India,1504,2242,5,3,3,2,3,Ready to Move,Unfurnished,6500,,Resale,,,,2000000,14500000
657,4BHK Villa for Resale in Nandigaon,Villa,"Hyderabad, Andhra Pradesh",,Hyderabad,Andhra Pradesh,India,2400,2400,,4,4,1,4,Ready to Move,Furnished,7708,,Resale,East,,,200000,18500000
